Distance,HOMO-5,HOMO-4,HOMO-3,HOMO-2,HOMO-1,HOMO,LUMO,LUMO+1,LUMO+2,LUMO+3,LUMO+4,LUMO+5,EXC1,EXC2,EXC3,EXC4,EXC5,EXC6,EXC7,EXC8,EXC9,EXC10,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,PROB8,PROB9,PROB10
5.5,-6.17360443205,-6.1124048466800005,-5.9280142592,-5.85387598598,-4.74492295497,-4.67180780407,-1.9602729775639998,-1.883783699864,-0.48404080223400003,-0.435182357742,-0.421270887367,-0.369598856495,2.2841,2.393,2.4861,2.4991,3.3948,3.4177,3.4312,3.4367,3.5004,3.6074,0.0011975002,0.0028587783,0.0052913832,0.1009512621,2.94989e-05,0.0001412586,0.0001593303,0.0022235302,9.0653e-06,5.7505e-06
5.7,-6.17369422736,-6.12278028659,-5.92639250148,-5.86642828189,-4.74351344071,-4.68339956227,-1.9575021119829998,-1.895873141767,-0.484498214101,-0.4343744720589999,-0.43034538371000003,-0.37964205375800003,2.3056,2.4045,2.4794,2.4983,3.4057,3.4183,3.4337,3.4369,3.5124,3.6101,0.0006502108,0.0019321523,0.006023112,0.1024992151,2.88894e-05,0.0001255523,0.0001668263,0.0021883511,7.1877e-06,3.4762e-06
5.8,-6.17444524268,-6.1271557671500005,-5.92636256971,-5.87160919917,-4.74359779388,-4.688213135100001,-1.9571219785040002,-1.900832291842,-0.485241338318,-0.43589364544000003,-0.433092848089,-0.383858079616,2.3148,2.4098,2.4774,2.498,3.4089,3.4186,3.4345,3.4369,3.5187,3.6125,0.0004709385,0.0015469424,0.0063567455,0.103165562,2.85069e-05,0.0001187036,0.0001759092,0.0021661304,6.2953e-06,2.7783e-06
4.6,-6.21701094069,-6.010615060119999,-5.97992139052,-5.727093171470001,-4.79546410915,-4.557835787120001,-2.024747098572,-1.7669151038989999,-0.5105475614249999,-0.48237496318,-0.340476060606,-0.275463984059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9,-6.38250369702,-6.13939241894,-5.78584651491,-5.4087796818,-4.96714457866,-4.28302676461,-2.224909551986,-1.514577221663,-0.655700319505,-0.628127989302,-0.1801687385322,-0.0790323353006,1.6046,2.2206,2.478,2.6494,2.9234,3.008,3.0995,3.1689,3.3583,3.3745,0.023563354,0.0069858195,0.0834441996,0.0012771767,0.0001707892,0.0050163591,0.0009731544,0.0022390227,0.0010807087,6.34172e-05
7.0,-6.1900015998699995,-6.16095417762,-5.93782643762,-5.90832731775,-4.75514601496,-4.72397615811,-1.967509391122,-1.936257357958,-0.49899906823800005,-0.46878457906500004,-0.44569929329200003,-0.416314186255,2.393,2.4559,2.4767,2.4941,3.4167,3.4192,3.4365,3.4371,3.5881,3.6492,7.7913e-06,7.53345e-05,0.0072890461,0.1093395011,1.59247e-05,5.84043e-05,0.0002947398,0.0020009306,7.417e-07,3.837e-07
6.8,-6.18747372584,-6.156641281670001,-5.935565228449999,-5.90397360575,-4.75292834291,-4.71958435113,-1.965319746093,-1.9319553462880001,-0.49668044449099996,-0.46441590118,-0.44352434204100005,-0.412216526942,2.3824,2.4493,2.4759,2.4947,3.4164,3.4192,3.4365,3.4371,3.578,3.6431,1.4584e-05,0.0001128563,0.0073295629,0.1084794374,1.78307e-05,6.6034e-05,0.0002837878,0.0020117557,1.199e-06,5.434e-07
3.8,-6.32806869167,-6.176330944190001,-5.73324823181,-5.32589316853,-5.010523876600001,-4.212738805440001,-2.275591385485,-1.455104699422,-0.7022507524230001,-0.66108939864,-0.1442998931099,-0.03693545044089999,1.4834,2.2013,2.4654,2.5157,2.819,2.9767,3.0594,3.0996,3.3349,3.3533,0.0242521268,0.0067986368,0.0786894746,0.0045354099,0.000171191,0.0011239982,0.0032510973,0.0072689965,0.0009772785,0.0002949322
4.7,-6.2060695182200005,-6.028789086650001,-5.96847929117,-5.75042362565,-4.78394309877,-4.57857306159,-2.010951001565,-1.787556868812,-0.503551146241,-0.471613403437,-0.35414181835999997,-0.291953668259,2.1226,2.3256,2.5009,2.5874,3.2329,3.3637,3.4105,3.4326,3.461,3.6087,0.0086798572,0.0061810537,0.0939135828,0.0012986631,8.54365e-05,0.000156166,0.0002863365,0.0021283603,3.71482e-05,0.0002224979
4.5,-6.2305428218,-5.9935349037300005,-5.989793432480001,-5.7000212460399995,-4.809344287220001,-4.53389037112,-2.041180184516,-1.743395263247,-0.519291991977,-0.495399364735,-0.325076164941,-0.25669567584100006,2.045,2.3035,2.5001,2.6471,3.1457,3.3083,3.4056,3.4275,3.4427,3.5513,0.0123716775,0.0065021511,0.0918666907,0.0007266407,0.0001449304,0.0001566024,0.0003689511,0.0016798188,0.0002363048,0.000612985
6.4,-6.18200437514,-6.14687536144,-5.9309557358700005,-5.89381857251,-4.74838415601,-4.70947013394,-1.96086834768,-1.922072964262,-0.49181707608,-0.454541682364,-0.43897580142900006,-0.402889515303,2.3589,2.4352,2.4747,2.4959,3.4156,3.4192,3.4362,3.4371,3.5561,3.6304,5.86222e-05,0.0003147403,0.0073016956,0.1065842819,2.21781e-05,8.41265e-05,0.0002520802,0.0020471592,2.6147e-06,1.0212e-06
5.4,-6.17422483601,-6.1061355014,-5.9296224115700005,-5.8463005271,-4.74632430602,-4.66490172841,-1.962558676364,-1.876538306775,-0.48422120917500006,-0.4364354104770001,-0.415828203153,-0.363642978479,2.2717,2.3865,2.4911,2.4995,3.3864,3.4172,3.4291,3.4365,3.4952,3.6071,0.0015978243,0.003357964,0.0054497594,0.0995421373,2.98051e-05,0.0001518365,0.0001567649,0.0022406443,9.763e-06,7.4358e-06
