x-dis,y-dis,z-dis,HOMO-5,HOMO-4,HOMO-3,HOMO-2,HOMO-1,HOMO,LUMO,LUMO+1,LUMO+2,LUMO+3,LUMO+4,LUMO+5,EXC1,EXC2,EXC3,EXC4,EXC5,EXC6,EXC7,EXC8,EXC9,EXC10,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,PROB8,PROB9,PROB10
0.0,0.0,3.6,-6.474222803509999,-6.00583958227,-5.89700222441,-5.38692676863,-4.70602798039,-4.12117207887,-2.513330182957,-1.892530307272,-1.0559245467429998,-0.529288386836,-0.459906543976,0.033237244203899986,1.156,1.6654,1.9823,2.3675,2.3912,2.553,2.7592,2.9392,2.9647,3.1311,1.705e-07,0.00032271080000000003,0.0568829266,0.0,7.79e-08,0.0,7.746e-07,1.25e-08,1.84e-08,1.19168e-05
0.0,0.8,3.6,-6.46666911319,-5.939333910399999,-5.9272632438800015,-5.48834921074,-4.63548151957,-4.214953756420002,-2.491742574112,-1.944531859721,-1.013450004578,-0.532457072851,-0.4398473601499999,-0.0850177913475,1.2742,1.6552,1.9879,2.2803,2.4913,2.6888,2.8442,2.9081,2.9854,3.1758,1.557e-07,0.0027919251000000003,0.0570703233,9.08e-08,8.20303e-05,0.0001243811,1.5754e-06,1.286e-07,1.059e-07,2.418e-07
0.0,1.6,3.6,-6.430990443350001,-6.0445876190700005,-5.76070927025,-5.701194027210001,-4.48519954454,-4.415648995340001,-2.456077509622,-2.044389142367,-0.944086937101,-0.6640047530379999,-0.308513283958,-0.274379909771,1.5145,1.5906,2.0392,2.0623,2.7411,2.7993,2.9457,2.998,3.0004,3.2225,1.064e-07,0.0110997535,0.051994054299999995,1.3380000000000002e-07,0.000504776,2.395e-07,0.0003214974,8.669e-07,1.8121e-06,2.903e-07
0.0,2.4,3.6,-6.3930451222,-6.16604529959,-5.87270034824,-5.64894132,-4.58447506242,-4.381815210959999,-2.439779660857,-2.119778563573,-0.925630191398,-0.744567472528,-0.448322404772,-0.2036071103484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.2,3.6,-6.370087454609998,-6.26563918266,-5.93931214184,-5.65691677617,-4.65475757945,-4.3844845806300015,-2.434831395062,-2.181694334567,-0.949618328197,-0.7781808502380001,-0.47385638143799996,-0.25785177685189997,1.5898,1.7385,1.9409999999999998,2.1188,2.7448,2.9561,2.9576,3.0153,3.1572,3.2083,0.0632346245,1e-10,2.387e-07,0.035259335,5.793e-07,2.4440000000000002e-06,2.13152e-05,0.00045394,4.98e-08,0.0062212361
0.0,4.0,3.6,-6.366830333819999,-6.32959521194,-5.932397902969999,-5.73557746773,-4.64979706884,-4.454503153869999,-2.425546560008,-2.253937382532,-0.968876156908,-0.817846159735,-0.454101957452,-0.344802017692,1.6775,1.7713,1.9498,2.0515,2.8389,2.963,3.0151,3.0552,3.2111,3.2397,0.0654609111,9e-10,2.4910000000000003e-07,0.037849724,4.311e-07,5.492799999999999e-06,2.9207e-06,0.0002215695,1.083e-07,0.015262381299999999
0.8,0.0,3.6,-6.350952890369999,-6.0267237945200005,-5.93441693691,-5.46896158699,-4.604763360340001,-4.22961216051,-2.352409096334,-2.062313918885,-0.902341913803,-0.6245386258650001,-0.4132698531390001,-0.09738709529999999,1.4266,1.6635,1.98,2.1253,2.6133,2.8099,2.8949,2.9978,3.0242,3.1813,1.242e-07,0.000615483,0.056117583,9.77e-08,0.0004802311,1.4740499999999999e-05,9.99e-08,6.98e-08,3.5060000000000003e-07,1.1900000000000001e-07
0.8,0.8,3.6,-6.352884850070001,-6.05873990414,-5.88085539503,-5.543551557830001,-4.56323711107,-4.290934194030002,-2.343407796774,-2.0965945029590003,-0.8733072805819999,-0.676780448795,-0.36992130329000006,-0.16838359388729998,1.4956,1.6740000000000002,1.9697,2.0631,2.6957,2.8956,2.9292,2.978,3.0769,3.1742,1.309e-07,0.0031795021000000003,0.0594820438,1.276e-07,0.0006500432,0.0004279971,1.6300000000000002e-07,5.6100000000000006e-08,7.242e-07,3.7e-07
0.8,1.6,3.6,-6.3523324728600015,-6.13489176916,-5.75548481585,-5.71052729731,-4.47005678999,-4.42736320169,-2.3364255311539996,-2.163723571966,-0.8366895694850001,-0.772000756054,-0.306441733367,-0.286900369162,1.6289,1.6607,1.9437,1.9676,2.8632,2.9003,3.0009,3.0099,3.1614,3.1795,2.164e-07,0.0044095015,2.2309999999999998e-07,0.0626956874,0.0010873052,7.320000000000001e-08,9.7e-08,0.0013008427,1.127e-06,4.0199999999999996e-08
0.8,2.4,3.6,-6.349069909929999,-6.219900717030001,-5.8500120665800015,-5.67411938071,-4.547302525150001,-4.41249255414,-2.351291280778,-2.2178600759369997,-0.8499795474719999,-0.8266006582459999,-0.39756955134599997,-0.25743665041270003,1.6374,1.6968,1.9080000000000001,1.9936,2.8273,2.9429,2.9778,3.0228,3.1717,3.1966,0.0167385793,3.699e-07,2.393e-07,0.0565726511,2.543e-07,0.0001859755,0.0028596863,4.836e-07,0.0022523872,2.607e-07
