x-dis,y-dis,z-dis,HOMO-1,HOMO,LUMO,LUMO+1,EXC1,EXC2,EXC3,EXC4,EXC5,EXC6,EXC7,EXC8,EXC9,EXC10,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,PROB8,PROB9,PROB10
0.0,3.2,3.5,-4.677021374190001,-4.36221534375,-2.454031537089,-2.160318969182,1.5549,1.7331,1.942,2.1583,2.6999,2.9211,2.9559,3.0074,3.1335,3.201,0.071186955,1e-10,2.2920000000000001e-07,0.0325545505,6.573999999999999e-07,2.5783999999999997e-06,4.9558199999999996e-05,0.0005621541000000001,3.8100000000000004e-08,0.007250605500000001
0.0,3.4,3.5,-4.67952475859,-4.3778206802,-2.450781218974,-2.17943829543,1.5781,1.7418,1.9458,2.1435,2.7243,2.9338,2.9576,3.0189999999999997,3.1524,3.2110000000000003,0.0752822801,6e-10,2.3100000000000002e-07,0.031907389700000004,6.505e-07,2.8229e-06,3.76124e-05,0.0004561303,4.08e-08,0.0075306978000000005
0.0,3.6,3.5,-4.67768803634,-4.396987897280002,-2.447060427856,-2.199583192961,1.6032,1.7503,1.9486,2.1236,2.7523,2.9506,2.9596,3.0301,3.1707,3.2213,0.0771746383,1.1e-09,2.331e-07,0.0317834315,6.224000000000001e-07,3.0212e-06,1.4150999999999999e-05,0.00038961029999999997,4.6500000000000006e-08,0.0082219339
0.0,3.8,3.5,-4.6727139203800006,-4.4184544185100005,-2.442930659917,-2.220353664485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,3.5,-4.66571260727,-4.44105018379,-2.4384955879240002,-2.241281958069,1.6557,1.767,1.9514,2.0756,2.8125,2.963,2.9922,3.0502,3.2019,3.2373,0.0742504906,1.2e-09,2.394e-07,0.0339846707,5.093999999999999e-07,3.1125e-06,3.2056e-06,0.0002827905,8.039999999999999e-08,0.015472579399999999
0.0,4.2,3.5,-4.65774531431,-4.46372758117,-2.4338768437060003,-2.261817057038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.4,3.5,-4.64960931501,-4.485632194670001,-2.4292434057100003,-2.281484950998,1.7068,1.7836,1.9521,2.0275,2.8689,2.9644,3.0365,3.0686,3.2221,3.2409,0.06374887629999999,6e-10,2.481e-07,0.0405526099,3.544e-07,3.40436e-05,2.9694e-06,0.0001766603,2.054e-07,0.0140906472
0.2,3.2,3.5,-4.6729642588199996,-4.36557858627,-2.449223678506,-2.1668579724990003,1.5609,1.7319,1.9406,2.1475,2.707,2.928,2.9542,3.0072,3.139,3.2001,0.0692286633,3.5099999999999997e-08,2.294e-07,0.0331020925,6.456e-07,2.5278e-06,8.05093e-05,0.0006665974,3.92e-08,0.0071395547
0.2,3.4,3.5,-4.675704376310001,-4.38110501169,-2.446456350316,-2.185359887964,1.5835,1.7407,1.9447,2.1336,2.7309,2.9402,2.9561,3.0189,3.1571,3.2103,0.07323451,2.98e-08,2.3100000000000002e-07,0.032531720099999994,6.395e-07,2.7710000000000002e-06,5.67355e-05,0.0005312948,4.21e-08,0.0074201944999999995
0.2,3.6,3.5,-4.6741724139,-4.400108964569999,-2.443195420028,-2.204854449765,1.6081,1.7493,1.9478,2.1148,2.7583,2.9564,2.9583,3.0301,3.1745,3.2208,0.0750753666,2.4300000000000003e-08,2.331e-07,0.0325198985,6.12e-07,2.9671e-06,2.49647e-05,0.00043546199999999996,4.8399999999999997e-08,0.0080316119
0.2,3.8,3.5,-4.66956292132,-4.42134147378,-2.439498846433,-2.224974313452,1.6337,1.758,1.9497,2.0927,2.7875,2.9606,2.9756,3.0404,3.1905,3.2308,0.0746935969,1.89e-08,2.3600000000000002e-07,0.0332609185,5.643e-07,6.0535000000000006e-06,3.0973e-06,0.0003583013,6.15e-08,0.0103503736
0.2,4.0,3.5,-4.6629724897800005,-4.4436433635000006,-2.435487717146,-2.245248189701,1.6596,1.7665,1.9509,2.0691,2.8169999999999997,2.9623,2.9966,3.0502,3.2041,3.2376,0.07218784360000001,1.4e-08,2.397e-07,0.0349613374,5.002e-07,4.584e-06,3.1429e-06,0.0002889744,8.42e-08,0.0152151253
0.2,4.2,3.5,-4.65538886769,-4.46600239569,-2.431260807008,-2.2651669663150003,1.6851,1.775,1.9515,2.0455,2.8456,2.9635,3.0183,3.0596,3.2151,3.2399,0.0677935663,9.8e-09,2.439e-07,0.0377663216,4.252e-07,1.5793699999999998e-05,3.0807e-06,0.0002260907,1.238e-07,0.014516573400000002
0.2,4.4,3.5,-4.64762293391,-4.48758320186,-2.426994441355,-2.28427295932,1.7098,1.7834,1.9519,2.0231,2.8721,2.9641,3.0393,3.0687,3.2231,3.2493,0.061873984900000005,6.6e-09,2.487e-07,0.0416912234,3.4689999999999996e-07,3.23706e-05,2.8904000000000003e-06,0.0001717358,2.346e-07,1.9524e-06
0.4,3.2,3.5,-4.6611656993,-4.37554314461,-2.4351073115600004,-2.185686144257,1.5783,1.7286,1.9369999999999998,2.1168,2.7281,2.9477,2.9487,3.0075,3.155,3.1979,0.0633684337,1.308e-07,2.2890000000000002e-07,0.0351932192,6.093999999999999e-07,2.3695e-06,0.0001447041,0.0009805016,4.34e-08,0.0068487503
0.4,3.4,3.5,-4.66454798931,-4.39085188443,-2.43373861335,-2.202452833383,1.5996,1.7376,1.9418,2.1054,2.7502,2.9511,2.9585,3.0194,3.1704,3.2086,0.0670925047,1.0970000000000001e-07,2.3019999999999998e-07,0.0348234038,6.053000000000001e-07,9.54598e-05,2.6076999999999996e-06,0.0007548056,4.71e-08,0.0071656313
0.4,3.6,3.5,-4.66390037465,-4.40936604471,-2.431797129905,-2.220114210325,1.6227,1.7467,1.9455,2.0895,2.7757,2.9542,2.9730000000000003,3.0304,3.1854,3.2196,0.06877299,8.789999999999999e-08,2.326e-07,0.0350951053,5.796e-07,4.73999e-05,2.7947e-06,0.0005694168,5.5599999999999995e-08,0.0076568939
0.4,3.8,3.5,-4.66033849402,-4.42989379679,-2.4293740170700002,-2.2383529983210004,1.6469,1.7559,1.9480000000000002,2.0707,2.8029,2.9574,2.9903,3.0407,3.1989,3.2301,0.0683720206,6.73e-08,2.359e-07,0.0361624946,5.339e-07,1.73549e-05,2.912e-06,0.00042211870000000005,7.17e-08,0.0092158367
0.4,4.0,3.5,-4.65489907509,-4.45133038625,-2.426591995102,-2.256766206904,1.6713,1.7651,1.9495,2.0504,2.8304,2.96,3.0091,3.0504,3.2104,3.2382,0.065980077,4.93e-08,2.4010000000000004e-07,0.0381564885,4.717e-07,8.2412e-06,2.9389999999999997e-06,0.00030781689999999996,9.970000000000001e-08,0.014038311299999998
0.4,4.2,3.5,-4.64847734989,-4.4727424860800005,-2.423542491953,-2.274917648553,1.6953,1.774,1.9505,2.03,2.8569,2.9619,3.0285,3.0597,3.2195,3.2411,0.061828951900000005,3.44e-08,2.447e-07,0.0411972546,3.996e-07,1.48244e-05,2.8543e-06,0.0002203529,1.601e-07,0.014476133799999999
0.4,4.4,3.5,-4.64181617053,-4.493351870260001,-2.4203868670740003,-2.292393992735,1.7184,1.7828,1.9511,2.0106,2.8813,2.9631,3.0472,3.0688,3.2256,3.2435,0.0562557666,2.2999999999999998e-08,2.4980000000000003e-07,0.0452590494,3.2450000000000003e-07,2.91577e-05,2.6386e-06,0.0001561941,4.0469999999999996e-07,2.0243000000000003e-06
