x-dis,y-dis,z-dis,HOMO-1,HOMO,LUMO,LUMO+1,EXC1,EXC2,EXC3,EXC4,EXC5,EXC6,EXC7,EXC8,EXC9,EXC10,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,PROB8,PROB9,PROB10
6.2,0.0,3.5,-4.670131624950002,-4.332457722230002,-2.3985130016650005,-2.177416812527,1.5752,1.7483,1.9432,2.1436,2.7747,2.9324,2.9897,3.0276,3.1365,3.241,0.018339221699999998,9.85e-08,6.132e-07,0.0449328955,2.694e-07,0.0012773537,1.5555000000000002e-06,1.7699e-06,0.0001236184,7.884e-07
6.2,0.2,3.5,-4.66701327873,-4.33596246039,-2.399087419542,-2.1773539558099997,1.5786,1.7504,1.9409999999999998,2.141,2.7778,2.9339,2.9929,3.0293,3.1388,3.1908,0.019288212199999998,9.13e-08,6.215e-07,0.045016451299999996,2.6579999999999996e-07,0.0013136223,1.5641e-06,0.0005299886,0.0004949703,0.0404367618
6.2,0.4,3.5,-4.6575276287100005,-4.34625898927,-2.4008302648770004,-2.177282935883,1.5883,1.7558,1.9349,2.1328,2.7865,2.9371,3.0019,3.0344,3.1460000000000004,3.1938,0.0219348019,7.05e-08,6.454000000000001e-07,0.0452763578,2.568e-07,0.0014881801,1.5892e-06,0.0021188084,0.0013613619,0.0402710968
6.2,0.6,3.5,-4.6428665035500005,-4.36295003265,-2.4035622191570005,-2.177479941351,1.6037,1.7627,1.9275,2.1198,2.7998,2.9399,3.0163,3.0431,3.1582,3.1984,0.025664066099999997,4.28e-08,6.789e-07,0.0455807619,2.443e-07,0.0020309073000000003,1.6188999999999999e-06,0.0045522158,0.0022176382,0.0399142442
6.2,0.8,3.5,-4.623399968769999,-4.3849798153699995,-2.406896346228,-2.178474220329,1.6236,1.7671,1.9223,2.1016,2.8163,2.9396,3.0345,3.0547,3.1745,3.2042,0.0295778386,2.5899999999999997e-08,7.048999999999999e-07,0.0458414101,2.306e-07,0.0032109863,1.6299e-06,0.007263502099999999,0.0028092757,0.0391811029
6.2,1.0,3.5,-4.600325295169999,-4.4111401823500005,-2.4103191801809998,-2.180761007557,1.6466,1.7652,1.9235,2.0791,2.8346,2.9353,3.0546,3.0679,3.1931,3.2057,0.0327126092,4.6500000000000006e-08,6.967e-07,0.046148116600000004,2.171e-07,0.0049233359999999995,1.5829e-06,0.0096897128,0.0037369509999999996,7.611e-07
6.2,1.2,3.5,-4.575190771580001,-4.439967197930001,-2.413612491202,-2.184734313971,1.6711,1.7553,1.9325,2.0534,2.853,2.9271,3.0737,3.0802,3.202,3.2088,0.034217646000000004,1.0710000000000001e-07,6.523000000000001e-07,0.046829885099999996,2.0449999999999998e-07,0.0066639613,1.4192e-06,0.0115701654,1.1577e-06,0.0098826777
6.2,1.4,3.5,-4.54989842593,-4.46993434184,-2.4162723371270003,-2.191005836107,1.6955,1.7403,1.9471,2.0261,2.8708,2.9167,3.0886,3.0894,3.1994,3.2109,0.03325034,1.8079999999999998e-07,5.981e-07,0.0484744539,1.918e-07,0.0078562656,1.4952e-06,0.0127209481,1.5952000000000002e-06,0.012327813100000001
6.2,1.6,3.5,-4.525895867460001,-4.499569515209999,-2.4181996710080003,-2.199476527017,1.7185,1.7237,1.9636,1.9993,2.887,2.9053,3.094,3.0956,3.1998,3.2013,0.0295963466,2.565e-07,5.518e-07,0.051728927699999996,1.7710000000000002e-07,0.0082564145,0.0131498043,7.47e-07,0.0073463771999999995,1.8994e-06
6.2,1.8,3.5,-4.527623746910001,-4.50457900508,-2.419018168864,-2.210089244231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,2.0,3.5,-4.55294330326,-4.4871804835,-2.418382799019,-2.222623036865,1.6978,1.7558,1.9553,1.9921,2.8865,2.9139999999999997,3.0873,3.0903,3.178,3.2106,3.518e-07,0.015309575700000001,0.0642135302,4.914e-07,0.0069401981,1.335e-07,2.022e-07,0.012555016799999999,0.0050736505,1.1029999999999999e-07
6.2,2.2,3.5,-4.574905059230001,-4.47434519631,-2.4163735609310004,-2.236579132788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,2.4,3.5,-4.59307092255,-4.4664051140500005,-2.413068005095,-2.2514818889640003,1.6918,1.7777,1.9345,2.0069,2.8815,2.9323,3.0735,3.0844,3.17,3.1913,4.082e-07,0.0017097303,0.0779039586,4.658e-07,0.0044063504,8.52e-08,1.8789999999999998e-07,0.0120534679,0.0035401324,1.4069999999999998e-06
6.2,2.6,3.5,-4.607307560790002,-4.4632894889,-2.40876735396,-2.2668243700520003,1.6969999999999998,1.7836,1.9327,2.0086,2.8852,2.938,3.071,3.0852,3.1694,3.1841,4.192e-07,1.0566099999999999e-05,0.0807956995,4.638e-07,0.0032232059999999997,6.98e-08,2.2059999999999998e-07,0.011719781799999999,0.0025552885,1.7399e-06
6.2,2.8,3.5,-4.6177564695900015,-4.46457927608,-2.4038449383300002,-2.2821325656580003,1.7068,1.7881,1.9346,2.0069,2.8925,2.9418,3.0722,3.0885,3.1707,3.1813,4.191e-07,0.00175075,0.0808149956,4.681e-07,0.0022363388,6.259999999999999e-08,2.5350000000000004e-07,0.0110244595,0.0016780959,1.913e-06
6.2,3.0,3.5,-4.6247741091200005,-4.469664955910001,-2.398721435627,-2.2970339612990003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,3.5,-4.650695021940002,-4.366160895250002,-2.4327299127010003,-2.160660735574,1.5765,1.7692,1.9239,2.1416,2.7257,2.9281,3.03,3.0628,3.1302,3.2743,0.0188965977,1.79e-08,7.358e-07,0.044342942999999996,4.3520000000000003e-07,0.0012387952,0.0005249793,1.4381999999999998e-06,0.0005635943,1.986e-07
6.4,0.2,3.5,-4.647856945930001,-4.3690425083800015,-2.4331290936700003,-2.160688762595,1.5795,1.7689,1.9239,2.1393,2.7295,2.9292,3.032,3.0648,3.1326,3.1834,0.0200649918,1.57e-08,7.390999999999999e-07,0.044551505899999996,4.293e-07,0.0012547736999999998,0.0009534078,1.4505000000000001e-06,0.0007618999999999999,4.1130000000000004e-07
