x-dis,y-dis,z-dis,HOMO-5,HOMO-4,HOMO-3,HOMO-2,HOMO-1,HOMO,LUMO,LUMO+1,LUMO+2,LUMO+3,LUMO+4,LUMO+5,EXC1,EXC2,EXC3,EXC4,EXC5,EXC6,EXC7,EXC8,EXC9,EXC10,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,PROB8,PROB9,PROB10
0.0,0.0,3.5,-6.41424769964,-6.05029098179,-5.839916896879998,-5.3285652592699995,-4.749058981369999,-4.06523776395,-2.5571723349039996,-1.835654502132,-1.097829568957,-0.569990151896,-0.405212220655,0.0860720154976,1.0483,1.6566,1.9845,2.2608,2.451,2.4823,2.6572,2.9289,2.9645,3.0266,1.741e-07,0.000320418,0.0560404425,0.0,0.0,6.950000000000001e-08,8.417e-07,1.1499999999999999e-08,1.95e-08,1.20135e-05
0.1,0.0,3.5,-6.41554020789,-6.0488025565,-5.842599871900001,-5.3302632069500016,-4.7470154578,-4.06742006209,-2.5539239215380003,-1.8392819605489998,-1.09450142824,-0.567677514503,-0.4088168220840001,0.083253313506,1.0539,1.6566,1.984,2.2659,2.4565,2.4765,2.6628,2.9291,2.9646,3.0307,1.7329999999999997e-07,0.0002898993,0.056016528600000004,3.7988e-05,1.32323e-05,6.91e-08,8.339e-07,1.09e-08,1.84e-08,1.2014400000000001e-05
0.2,0.0,3.5,-6.41939868515,-6.044340001699999,-5.85059709663,-5.335343444639999,-4.74090393458,-4.0739560722300014,-2.544195552074,-1.850034812868,-1.084621495177,-0.5607679014520001,-0.419482328056,0.07488888037949999,1.0706,1.6569,1.9828,2.2811,2.4594,2.4729,2.6794,2.9293,2.9652,3.0431,1.708e-07,0.00020859720000000002,0.0559637302,0.0001389327,6.82e-08,4.5950200000000006e-05,8.093999999999999e-07,1.1200000000000001e-08,1.91e-08,1.1991300000000002e-05
0.3,0.0,3.5,-6.425768710020001,-6.0369223648800014,-5.86375074901,-5.34371073489,-4.7307733909700005,-4.0847342305000005,-2.528136885362,-1.867560952631,-1.068526366127,-0.54934593802,-0.436809557602,0.061268265176800014,1.0982,1.6572,1.9811,2.3062,2.4314,2.4996,2.7068,2.9286,2.9668,3.0636,1.6670000000000003e-07,0.00010497370000000001,0.0558884854,0.0002722932,6.7e-08,8.24299e-05,7.684e-07,1.63e-08,1.84e-08,1.19309e-05
0.4,0.0,3.5,-6.43452783435,-6.02662855707,-5.881747905990001,-5.35520725564,-4.71676804368,-4.099564062000002,-2.506088599366,-1.891315893731,-1.046748826596,-0.533559650415,-0.4601865420790001,0.0428400907088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,3.5,-6.44552095715,-6.0136191214000005,-5.904207617770001,-5.369612600220001,-4.6991246258000015,-4.11816801759,-2.478527153443,-1.9206073959599999,-1.019959348232,-0.513617744706,-0.488873422554,0.020126660919860002,1.183,1.6572,1.9782,2.3468,2.3832,2.5809,2.7909,2.9189999999999996,2.9751,3.1279,1.54e-07,6.0108e-06,0.055683706500000006,6.580000000000001e-08,0.0005363753,0.0001103207,6.4e-07,4.9699999999999995e-08,1.25e-08,1.1706700000000001e-05
0.6,0.0,3.5,-6.4310040487,-5.998076369560001,-5.9306809077999985,-5.3866709880500006,-4.67810436005,-4.14022501101,-2.445990775239,-1.954686620854,-0.9889160211370001,-0.5220647623069999,-0.489830150766,-0.006321638803259999,1.2383,1.6564,1.9780000000000002,2.2923,2.4335,2.6334,2.8457,2.9093,2.9814,3.1693,1.458e-07,0.00010962649999999999,0.0554838707,6.7e-08,0.0006428732,9.53674e-05,5.553e-07,7.38e-08,1.94e-08,7.61e-08
0.7,0.0,3.5,-6.40090085129,-5.98020982394,-5.96059907245,-5.4061130332000005,-4.654017448409999,-4.16537858209,-2.4091172835620003,-1.9927783355700002,-0.954419384105,-0.558924376527,-0.46258843056800003,-0.0359247089894,1.3007,1.6548,1.9789,2.2315,2.4905,2.6921,2.8968,2.9072,2.988,3.1723,1.366e-07,0.00036658160000000003,0.055172285300000005,7e-08,0.0007313978,6.84463e-05,9.83e-08,4.6060000000000003e-07,4.4800000000000004e-08,1.187e-07
0.8,0.0,3.5,-6.368005836059999,-5.99338796595,-5.9602453333500005,-5.4276258126200005,-4.62715776644,-4.19319335963,-2.3686859928599997,-2.0341298921460003,-0.917312968836,-0.5986076450860001,-0.432299928291,-0.06808356594159999,1.3687,1.6523,1.9811,2.1654,2.5529,2.7555,2.8819999999999997,2.9738,2.9939,3.177,1.2710000000000002e-07,0.0007889864,0.0547167034,7.730000000000001e-08,0.0008088164999999999,3.77994e-05,1.226e-07,3.6270000000000004e-07,9.22e-08,1.579e-07
0.9,0.0,3.5,-6.332740768859999,-6.028511537509999,-5.938422351950001,-5.45087735577,-4.59790898501,-4.2232094828,-2.3254558095560003,-2.0779211600839997,-0.8784898305040001,-0.640220696489,-0.39944627332500005,-0.10224069506969999,1.4404,1.6487,1.9845,2.0959,2.6194,2.8218,2.8655,2.9986,3.0435,3.1834,1.159e-07,0.0013611538,0.054101587199999995,8.6e-08,0.0008843569,1.23768e-05,1.458e-07,1.652e-07,2.6949999999999997e-07,1.7190000000000002e-07
