x-dis,y-dis,z-dis,HOMO-5,HOMO-4,HOMO-3,HOMO-2,HOMO-1,HOMO,LUMO,LUMO+1,LUMO+2,LUMO+3,LUMO+4,LUMO+5,EXC1,EXC2,EXC3,EXC4,EXC5,EXC6,EXC7,EXC8,EXC9,EXC10,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,PROB8,PROB9,PROB10
0.0,0.0,3.5,-6.41424769964,-6.05029098179,-5.839916896879998,-5.3285652592699995,-4.749058981369999,-4.06523776395,-2.5571723349039996,-1.835654502132,-1.097829568957,-0.569990151896,-0.405212220655,0.0860720154976,1.0483,1.6566,1.9845,2.2608,2.451,2.4823,2.6572,2.9289,2.9645,3.0266,1.741e-07,0.000320418,0.0560404425,0.0,0.0,6.950000000000001e-08,8.417e-07,1.1499999999999999e-08,1.95e-08,1.20135e-05
0.0,0.1,3.5,-6.4163782974500005,-6.048775345799999,-5.840746823230001,-5.33061150391,-4.74770116744,-4.06712618653,-2.556609073414,-1.836714903111,-1.096904949371,-0.568207034725,-0.406673979459,0.08362403208279999,1.0509,1.6566,1.9846,2.2634,2.4538,2.4801,2.6591,2.9289,2.9646,3.0299,1.7390000000000002e-07,0.00038402989999999996,0.05606119019999999,7.195000000000001e-07,2.4584e-06,6.97e-08,8.587e-07,3.58e-08,1.71e-08,1.1971900000000001e-05
0.0,0.2,3.5,-6.42272927483,-6.04416857429,-5.843217554789999,-5.336712142850001,-4.743556977830001,-4.07275335929,-2.555025138567,-1.8398854938749998,-1.0940949003819995,-0.562891968694,-0.411028235673,0.07631676186200001,1.0583,1.6567,1.9847,2.2712,2.4623,2.4734,2.6647,2.9286,2.9648,3.0397,1.734e-07,0.000574218,0.056111002800000004,2.8328e-06,9.7414e-06,7.01e-08,9.095e-07,9.35e-08,1.63e-08,1.1856800000000001e-05
0.0,0.3,3.5,-6.43315097293,-6.0363863140900005,-5.847222969830001,-5.346733843660001,-4.7365529436500005,-4.08199139194,-2.552629236432,-1.845128723658,-1.089560237227,-0.554049035408,-0.418150908505,0.0643370062907,1.0702,1.6564,1.9849,2.2837,2.4623,2.4761,2.6736,2.9275,2.9653,3.0556,1.7239999999999998e-07,0.0008763792,0.0561632792,6.9123e-06,7.08e-08,2.1543e-05,9.959e-07,1.507e-07,2e-08,1.1693299999999999e-05
0.0,0.4,3.5,-6.44732230549,-6.0257251618300005,-5.852607967359999,-5.3603664043600014,-4.7269883826,-4.09456273534,-2.549682045515,-1.852270988194,-1.083696875591,-0.541998776913,-0.427767986206,0.0480493615382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,3.5,-6.46521334074,-6.01205450615,-5.85962288582,-5.3775880563900005,-4.7146891462000005,-4.11047011056,-2.5458034323370002,-1.861276369359,-1.0761559743,-0.5267934377529999,-0.4397352520660001,0.027636493033600003,1.1064,1.6540000000000001,1.9857,2.3215,2.4274,2.5180000000000002,2.6998,2.9204,2.9696,3.1042,1.691e-07,0.0017227666000000001,0.0562617294,2.42423e-05,7.320000000000001e-08,5.49955e-05,1.2664e-06,1.869e-07,6.32e-08,1.1167999999999999e-05
0.0,0.6,3.5,-6.486478502790001,-5.99575529685,-5.868104461010001,-5.39806410814,-4.70000897355,-4.129414199900001,-2.541255708046,-1.8718531684490003,-1.0673516802079999,-0.509245801537,-0.453417064133,0.00361413333721,1.1306,1.6515,1.9869999999999999,2.3467,2.4044,2.5457,2.7169,2.9137,2.9737,3.1351,1.6679999999999998e-07,0.0022179456,0.05627884440000001,4.00892e-05,7.49e-08,7.3822e-05,1.4390000000000001e-06,1.7769999999999998e-07,9.400000000000001e-08,1.0251500000000002e-05
0.0,0.7,3.5,-6.51073684184,-5.97708331451,-5.87796289762,-5.42144082051,-4.6831845977399995,-4.1510956856600005,-2.536039144749,-1.883768189765,-1.057486440923,-0.491819252936,-0.466406091778,-0.02349840950468,1.1582,1.6478,1.9892,2.3755,2.3782,2.5772,2.736,2.905,2.9788,3.1611,1.639e-07,0.0027437345,0.0562517536,6.240569999999999e-05,7.72e-08,9.30597e-05,1.6266e-06,1.675e-07,1.229e-07,4.2926e-06
0.0,0.8,3.5,-6.5071695190700005,-5.956397740369999,-5.8891029582000005,-5.4472964276499996,-4.66454526824,-4.17513089697,-2.5303186392879997,-1.89681435988,-1.046813588062,-0.492975707686,-0.460331030896,-0.0531399120835,1.1888,1.6429,1.9925,2.3494,2.4074,2.6119,2.7568,2.8944,2.9842,3.1692,1.606e-07,0.0033001798999999997,0.056155519699999996,7.990000000000001e-08,9.23556e-05,0.0001130465,1.8185e-06,1.6260000000000001e-07,1.502e-07,7.347e-07
0.0,0.9,3.5,-6.502614447890002,-5.933989728920001,-5.901385868180001,-5.47517923194,-4.64433588135,-4.20112255761,-2.524352421206,-1.91075440149,-1.035637337251,-0.509714914005,-0.43822315346699997,-0.08469376633189998,1.2217,1.6364,1.9968,2.3185,2.4416,2.6489999999999996,2.7788,2.8819999999999997,2.9893,3.1734,1.566e-07,0.0038966785,0.0559491045,8.310000000000001e-08,0.0001310215,0.0001335708,2.0066999999999998e-06,1.6489999999999997e-07,1.797e-07,3.0609999999999997e-07
