x-dis,y-dis,z-dis,HOMO-5,HOMO-4,HOMO-3,HOMO-2,HOMO-1,HOMO,LUMO,LUMO+1,LUMO+2,LUMO+3,LUMO+4,LUMO+5,EXC1,EXC2,EXC3,EXC4,EXC5,EXC6,EXC7,EXC8,EXC9,EXC10,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,PROB8,PROB9,PROB10
0.0,0.0,3.0,-6.39399205456,-5.893715171849999,-5.402551152570001,-5.080357417079999,-4.76520036861,-3.61124900301,-2.98197979695,-1.559878139237,-1.4699266398189998,-0.881907494424,-0.282703935008,-0.005018387768900001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1,-6.32037350571,-6.079860849479999,-5.517611597519999,-5.0141211311400005,-5.00244774084,-3.7510222057,-2.8236325704400005,-1.5185233173769999,-1.354403885076,-0.824795228301,-0.1387591959545,-0.1003880001388,0.4071,1.6203,1.6447,1.8595,1.9947,2.0562,2.4133,2.6927,2.8844,2.9632,1.4470000000000002e-07,0.000246492,0.0,0.0,0.0525834446,1.0821e-06,1.06247e-05,1.47e-08,5.3e-09,1.58e-08
0.0,0.0,3.2,-6.236376795880001,-6.1803227538800005,-5.61500413496,-5.100531430059999,-4.931177475399999,-3.84576169989,-2.74067530935,-1.613802943962,-1.274164428702,-0.744326113619,-0.1919808489808,-0.06042310083480001,0.6096,1.6295,1.8326,1.9919,2.0403,2.2407,2.6012,2.8335,2.8960000000000004,2.9023,1.627e-07,0.0002732916,0.0,0.05345850059999999,0.0,1.0332e-06,1.12e-05,6.2e-08,8.6e-09,5.54e-08
0.0,0.0,3.3,-6.26842827941,-6.164437147219999,-5.700081109579999,-5.1864818681500005,-4.86045142396,-3.9286264446,-2.669679327766,-1.697369996839,-1.2056919674359998,-0.676265622351,-0.272303733361,0.006561384117750001,0.7786,1.6386,1.9893,1.9957,2.197,2.4002,2.7095,2.7638,2.9073,2.9641,1.718e-07,0.0002961818,0.0543266797,0.0,0.0,9.731e-07,6.99e-08,1.1633699999999998e-05,9e-09,1.98e-08
0.0,0.0,3.4,-6.34592979515,-6.10293824415,-5.77456767976,-5.26202965563,-4.80029128733,-4.00133071393,-2.6090291264289998,-1.7708739886419995,-1.1474452872299998,-0.6187536310449999,-0.342949785343,0.0636541537742,0.9232,1.6476,1.9868,2.1374,2.3329,2.5381,2.5882,2.9046,2.9183,2.9643,1.75e-07,0.0003112854,0.0551877201,0.0,0.0,9.076e-07,6.580000000000001e-08,1.1912899999999999e-05,1.03e-08,1.95e-08
0.0,0.0,3.5,-6.41424769964,-6.05029098179,-5.839916896879998,-5.3285652592699995,-4.749058981369999,-4.06523776395,-2.5571723349039996,-1.835654502132,-1.097829568957,-0.569990151896,-0.405212220655,0.0860720154976,1.0483,1.6566,1.9845,2.2608,2.451,2.4823,2.6572,2.9289,2.9645,3.0266,1.741e-07,0.000320418,0.0560404425,0.0,0.0,6.950000000000001e-08,8.417e-07,1.1499999999999999e-08,1.95e-08,1.20135e-05
0.0,0.0,3.6,-6.474222803509999,-6.00583958227,-5.89700222441,-5.38692676863,-4.70602798039,-4.12117207887,-2.513330182957,-1.892530307272,-1.0559245467429998,-0.529288386836,-0.459906543976,0.033237244203899986,1.156,1.6654,1.9823,2.3675,2.3912,2.553,2.7592,2.9392,2.9647,3.1311,1.705e-07,0.00032271080000000003,0.056882926699999996,0.0,7.79e-08,0.0,7.746e-07,1.25e-08,1.84e-08,1.19168e-05
0.0,0.0,3.7,-6.44364886099,-5.968299700549999,-5.946871274299999,-5.43809921105,-4.66988400758,-4.17010780175,-2.476191386955,-1.942475547122,-1.020437168124,-0.507963089139,-0.49532154213299995,-0.013114972369950002,1.2489,1.6742,1.9802,2.3132,2.4598,2.6412,2.8465,2.9492,2.9649,3.1786,1.6510000000000002e-07,0.0003173569,0.057713201,8.93e-08,0.0,0.0,7.084000000000001e-07,1.4099999999999999e-08,1.74e-08,4.54e-08
0.0,0.0,3.8,-6.412514378049999,-5.9905390056600005,-5.93618835348,-5.4830921035000015,-4.6391277533699995,-4.2130435652800005,-2.444392962935,-1.986461915779,-0.990131795213,-0.550288244561,-0.4664820096310001,-0.053923172083,1.3298,1.6827,1.9783,2.2461,2.5402,2.7177,2.9215,2.9586,2.9655,3.1844,1.585e-07,0.00030595409999999997,0.058527045300000004,1.028e-07,0.0,0.0,6.459e-07,1.72e-08,1.47e-08,5.0700000000000004e-08
0.0,0.0,3.9,-6.3867431240800006,-6.02857412212,-5.90911914912,-5.522441496769999,-4.6133537783300005,-4.25051542025,-2.417535185714,-2.025026280354,-0.964534145509,-0.5874332990239999,-0.44231645906800005,-0.08968837194899999,1.3996,1.6909999999999998,1.9764,2.1892,2.6095,2.7835,2.9639,2.9697,2.9847,3.1901,1.511e-07,0.0002899098,0.059324440199999995,1.178e-07,0.0,0.0,2.48e-08,6.9e-09,5.876e-07,5.49e-08
